,题名,作者,来源,发表时间,数据库,被引,下载,操作
21,"('糖尿病视网膜病变的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QV7rLcjoEtIiC7I1YBpnK6Fa9N0NObqDoQmYgErV-bCnKKA116UOalQ8XcaGKfIrnuMPdYtHlDaLS9Sl4WC_lQdYzoWN4Wq0ovKgT-jvyAe-ON562anhv8PZs1y3DbB0-P8qBtZWEZTw==&uniplatform=NZKPT&language=CHS')",杨倩;王丽萍;李秀;刘畅,重庆医学,2022-04-24 16:18,期刊,4.0,1682,下载  HTML阅读
22,"('中医防治糖尿病视网膜病变的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RkzIiTlxhHDBBDvRS2MykRv0oSECR3SffSzpVoASlsAThdv2wejGzFWkyK0i3AfIB4CCV3sSZSGXitk999Z20P6lEFdbs1fnHVIoM9NYDV5KUnidmWNJZaKvnmHCSIdnbGSqV_mQPZaw==&uniplatform=NZKPT&language=CHS')",冉德聪;张忠勇;王晓蕴;王元松,河北中医药学报,2022-02-28,期刊,17.0,1469,下载  HTML阅读
23,"('糖尿病性视网膜病变脂质代谢的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RkzIiTlxhHDBBDvRS2MykRv0oSECR3SfcaMREo0FLX7F4IxNc0OL9hLsaIQKfZ19VczZM_CRbdZVK4tAfy7s8hIqn0c88SxwWcoBJUrTv-SSDk9N9Oaj46B_FoNlxPnaIVqwlqaqG2Lw==&uniplatform=NZKPT&language=CHS')",邵哲怡;李建桥,眼科学报,2022-02-28,期刊,6.0,554,下载  HTML阅读
24,"('中医药治疗糖尿病视网膜病变的新进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SQ5SfYGX5c_593JXjhaVJWfQWA8KyXk2ExokiOWDvwuXGLu1TizqV8t9U6u-8Vj6AEMoudThZ1UvW8BkEsoiuyLZT1qF78C09fHgZrlFK-npeO3ofLQpAoGpfeyGiqZou3Bpfeg9VwFw==&uniplatform=NZKPT&language=CHS')",孙开放;赵博军,中国中医药现代远程教育,2022-01-17,期刊,3.0,1272,下载  HTML阅读
25,"('长链非编码RNA在糖尿病视网膜病变中的研究新进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SQ5SfYGX5c_593JXjhaVJWfQWA8KyXk2EGV9w6PQivlw84xlZl5xP9zllutj1imcCL55a-mzXqe-JzCgMJvfoslwNh_OXjzs9hPWZwbp_lVLfP0-ynbcF92O_7H1X9fVDJZQ7GugK1EQ==&uniplatform=NZKPT&language=CHS')",曾兰;谭薇,重庆医学,2021-11-22 11:21,期刊,3.0,431,下载  HTML阅读
26,"('糖尿病视网膜病变发病机制及治疗的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RhhqPfktl4eHMafAZ1o6dOBjxOUEKzGna_qqxdWWdj_iKuk-xt0QTqV1dSaahDD8mRYBFZSPYHV-JtfbBnj9mXdm1-JXGNdjiIMuitt_U-pPwlSStwkKCX_JYBwRpa_REcvStndfmlmw==&uniplatform=NZKPT&language=CHS')",邸莎;王天铬;逄冰;李敏,医学综述,2021-10-28 11:38,期刊,69.0,4646,下载  HTML阅读
27,"('中医药治疗糖尿病视网膜病变进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SxlzM35nmHyMg_1lRXT4fGK7yZcL6msf0ZTCOUIOoN-rlJW3fj41oqITo0jWTdqHSYfYFzD8GcgwxPzpBbcp--j9VedeAGe1bU_dgcunpyiwkkvmjbNmO_WZ6zXSMRbMVkGEHEeNevtQ==&uniplatform=NZKPT&language=CHS')",邸莎;王天铬;李敏,辽宁中医杂志,2021-10-25 17:16,期刊,18.0,1721,下载  HTML阅读
28,"('糖尿病视网膜病变动物模型研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SxlzM35nmHyMg_1lRXT4fGK7yZcL6msf2PlQF-r6KukT1-NTZAfJK5T03LUAixKFjeAkuxxOhkIadJKzXadPDFPtij2OAoCnXrqmXhpIblgipSuyixdvfEEhGaJhBF2yWPNvhjPBbmNQ==&uniplatform=NZKPT&language=CHS')",王娇娇;李苗;史平玲;张贝贝;魏圆梦;王艳歌;宋宗明,中国实验动物学报,2021-09-17 15:19,期刊,7.0,1974,下载  HTML阅读
29,"('糖尿病视网膜病变中西医结合研究现状  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QeGQcl6d8mIcIrMPp8QMTXWYFBqPEaUqTNsCiMTxs3wHTulUSlm6UyF7igUks-FttAQGqh658oh5wNytgmvqdhNX2V1CUQJf-ForSXqEPXDWZGePL8uoaNA53Gpf7EZPP6FzCdg_Q6Aw==&uniplatform=NZKPT&language=CHS')",彭清华,中国中西医结合杂志,2021-06-03 11:29,期刊,15.0,824,下载  HTML阅读
30,"('糖尿病视网膜病变中医研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4T3CmpPRn0wmQILDyCNjGfZ7a8KqyzKPqRCbmV1qor2jq4Sp9ajJK3ImyeX6vxlrEJ0n5ZGOdzvbkAR4VrK8XN-7kPxarSsIaULcQzwfaY3amllktD-IJZeXo3VCm21K-yasEVAb4Lpvw==&uniplatform=NZKPT&language=CHS')",郑雪晶;张花治,湖南中医杂志,2021-03-28,期刊,10.0,721,下载  HTML阅读
