Unnamed: 0,题名,作者,来源,发表时间,数据库,被引,下载,操作
1,"('补体蛋白调控靶点在糖尿病视网膜病变中的作用及临床研究进展  网络首发  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SvqJp2jRGxy9VKSXh_gJFvg95EQ8MotYpTOS1Wer2BjcmM4Lc-Sp0hAIUf_HMYAU8pyPnQjOvjDGwthDI8MLpZd3ga_uCzR897u-xRDnE1K6hx9f5XVax1qss6rhwR6qE=&uniplatform=NZKPT&language=CHS')",王绪瑞;孙洪岩;刘丹;杨明明,国际眼科杂志,2024-03-10 08:07,期刊,,74,下载  在线阅读
2,"('糖尿病性视网膜病变的发病机制：miRNAs研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QrDK2w8RsxETSQBoQrYp3_U4CiALx1hNx-pbHVIOG-JwS9u8_0bLRsh7jnXIjFZasJbyRRS3ndtukw7n44ZnzxjXlj0v3b2SN1oSRPrZYvXqlTqV1NRG_XjXGjVWJ4f0M=&uniplatform=NZKPT&language=CHS')",刘彤;吴松笛,眼科新进展,2024-03-05,期刊,,38,下载  HTML阅读
3,"('姜黄素治疗糖尿病视网膜病变作用机制的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QZmdVFhquqpHNtaOdKEzfE1QOggESR2XfG9BreOFNq0YGXFqE87NF8Osz3MRHTFN0Sf-b1sXnR-ZwGq3IPCw_jPUMbRINK-DT2sdx_sfeMgJEwUQNl8_H-gbC5Fu--DU4=&uniplatform=NZKPT&language=CHS')",樊靖蝶;徐新荣,中国医药科学,2024-01-15,期刊,,82,下载  HTML阅读
4,"('线粒体DNA在糖尿病视网膜病变发病机制中的作用研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RSM3ak9Mu5a5cUe9ctESbH07dhP6vlmSmJbRFnygI2p996z61Br7Hp4rBFRSAFXLESDZozUKEAvUUbWiMzscE7DsQAL0IllHcIx6qkFQZ5oJ4phklyX-86MaDx4aKzzY1u4Fm7eCknSA==&uniplatform=NZKPT&language=CHS')",侯小玉;接传红;王建伟;刘自强;邓宇;李媛媛;蔡文静,眼科新进展,2023-12-05,期刊,,320,下载  HTML阅读
5,"('糖尿病视网膜病变的发病机制及中医治疗进展  网络首发  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RSM3ak9Mu5a5cUe9ctESbHkNnyerNsw3ghN-gzIGl3FhFBjwhYoWE5083z2sX7nKBjyIHzr6ojTMTkhPYQOquGYcWfSCzfGeU0gYTuV4BGOG55FxqjiW7iY1c4rAhk33U=&uniplatform=NZKPT&language=CHS')",孙祎遥;赵洋,实用中医内科杂志,2023-11-09 19:32,期刊,,971,下载  HTML阅读
6,"('细胞因子在糖尿病视网膜病变发病中作用的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4SU8J4g5IDGK3gIIS51FKoU7Cguq6npCURC8hOwTgqOqgeeyQMhLaxw1pmhP-sAMxzs2NzT_cexxEbsWCIrZpIEfHEruG3nUbaSfpVHvYJDuiDrPUd4AeU47a1QonozslFx0HlwpaeXTw==&uniplatform=NZKPT&language=CHS')",付鹏;万小波,大医生,2023-11-05,期刊,,48,下载  HTML阅读
7,"('糖尿病视网膜病变早期疗法的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Rk3LBRdncZT-QJ6BSq1D1YyLUZpNeAoZZb4FU00za6SeG79Owa-xG0ImOtOuJLS7rAZu9G2lEjp0QkNGt_X5rqJ8mP6gCAodz5mYM5HlhatvJi6NDih_lbFe0SdwiPwc_TEgUA4dg46g==&uniplatform=NZKPT&language=CHS')",蒋孟洋;吴泓樾;袁晓辉,糖尿病新世界,2023-10-16,期刊,,86,下载  HTML阅读
8,"('中医药治疗老年糖尿病性视网膜病变的临床进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Rk3LBRdncZT-QJ6BSq1D1YyLUZpNeAoZaAOWBe_iA5u_fC-_KgEKwWQaTGiPmg7zqtieGD-9IUjRIc4KBfoEfmmOdJMO-icMM_iX29QuDxBNCfqWP4m4P8CLcb8oqJBEpaCU6tFwbd_g==&uniplatform=NZKPT&language=CHS')",刘艳;杨立宏,新疆中医药,2023-08-25,期刊,,231,下载  HTML阅读
9,"('LncRNA-MEG3在糖尿病视网膜病变发病机制中的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4TPWsH-U1gKZm-UVjekBn0uScCHtySk-zBIKALPf-Pz1oTip7nPhk_EZ7DVIAV0vD9HqoXooCbep7X7GGEv-CjFMDV7RBg-G5GPdoXcdSzyC8LIXh6c84UW5ZPIjCR4J8feUrB1k-J7mg==&uniplatform=NZKPT&language=CHS')",郑菀睿;罗向霞;周茹玉;王瑞,中国中医眼科杂志,2023-08-08,期刊,1.0,138,下载  HTML阅读
10,"('中西药治疗糖尿病视网膜病变db/db小鼠的研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4TPWsH-U1gKZm-UVjekBn0uScCHtySk-zA1y8Z0LJKmtnMFPK119rbbpNutjkop9TfGvxLFwoX6xCuhp1ktATTqzS4D4IrKpAYhFCZXIxl82ultaoEdV2VKfp3Q6qzcRJdwawG6diSP2g==&uniplatform=NZKPT&language=CHS')",何润西;黎晓冬;张梅;谢学军,世界科学技术-中医药现代化,2023-07-31 13:54,期刊,,256,下载  HTML阅读
